"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","DAPI-A","FITC-A","PE-A","V-510_50-A","Time"
5874.09,6758,56964.2,79.3,68,76426.5,4.04,6.7,-20.74,-15.84,-4.02,128.479
112691,35352,208909,114009,24147,262143,161078,116.58,164.7,325.71,134,129.079
114857,35652,211132,116254,25612,262143,145555,110.55,120.78,307.89,172.19,130.71
128743,42763,197303,95147.8,20196,262143,110614,166.16,142.74,237.6,180.9,131.472
132430,46579,186327,118918,27168,262143,147451,129.98,107.36,261.36,179.56,131.867
124457,41947,194446,118057,25608,262143,166370,135.34,186.66,297.99,189.61,131.952
136089,49035,181885,125603,28848,262143,146940,146.06,154.94,323.73,201,132.322
114577,36251,207137,122726,24679,262143,168198,90.45,158.6,281.16,148.07,133.758
129215,43044,196734,121395,26041,262143,152222,123.28,168.36,279.18,165.49,134.647
124319,43582,186943,120376,26337,262143,185705,156.78,163.48,301.95,176.21,135.216
119244,37534,208205,114518,24677,262143,151071,101.84,157.38,276.21,140.03,135.668
124779,42399,192871,118718,27320,262143,128890,160.8,162.26,255.42,192.29,136.384
25133,25746,63975.7,115.9,132,57542.6,6.06,0.67,20.74,-16.83,3.35,136.426
15359.4,15610,64483.7,270.84,244,72745,40.4,17.42,7.32,-12.87,-4.69,136.429
150036,55523,177093,114429,23420,262143,160072,69.68,137.86,262.35,148.07,137.705
144622,52424,180794,105279,22683,262143,136403,142.04,169.58,289.08,200.33,139.774
126300,37470,220901,140725,28990,262143,102952,95.14,122,282.15,134,139.793
124448,44455,183462,124495,28152,262143,150862,120.6,158.6,331.65,179.56,140.186
126902,42447,195930,124988,24656,262143,149459,148.74,184.22,300.96,227.13,140.927
152361,46687,213873,149177,29685,262143,78305.3,994.95,2877.98,671.22,1382.21,140.944
121023,36809,215473,118652,25521,262143,139146,131.32,158.6,300.96,180.9,141.88
133654,45913,190777,111240,25509,262143,104043,119.26,174.46,300.96,194.97,144.367
143396,52191,180061,100411,24070,262143,171335,130.65,143.96,294.03,140.03,145.476
122782,41203,195293,121428,25453,262143,195654,161.47,197.64,278.19,178.22,145.622
5544.49,6707,54176.8,63.44,69,60255.1,12.12,0,21.96,-16.83,-4.69,147.552
121531,39523,201519,118985,29812,261567,171428,152.09,195.2,305.91,201.67,148.188
131871,43238,199877,126444,30612,262143,106526,105.19,170.8,303.93,169.51,148.213
131354,45219,190371,119478,26529,262143,143509,160.8,173.24,280.17,215.74,149.497
120592,39508,200039,115342,24681,262143,140898,154.77,162.26,312.84,185.59,150.054
135059,46766,189266,117399,26512,262143,201570,142.71,163.48,321.75,191.62,151.852
147600,53125,182082,103796,23526,262143,143239,155.44,187.88,287.1,224.45,153.228
134966,43404,203786,120818,24452,262143,212907,150.08,167.14,289.08,188.94,157.056
124946,41157,198957,123352,24252,262143,141241,119.26,185.44,342.54,187.6,157.308
121403,41895,189910,119581,26550,262143,184634,126.63,180.56,312.84,222.44,158.734
121005,40350,196536,118377,24720,262143,160832,152.09,158.6,330.66,199.66,158.766
127280,43725,190770,112451,25864,262143,147711,142.04,167.14,308.88,207.03,158.79
127867,43022,194782,118563,27288,262143,146275,121.27,157.38,274.23,170.18,158.833
123361,39912,202560,125539,28701,262143,128891,141.37,185.44,333.63,186.93,159.607
137347,49519,181773,114948,28100,262143,173071,147.4,187.88,317.79,178.89,159.693
129461,41294,205462,117942,23191,262143,112217,99.83,141.52,272.25,137.35,159.711
14528.1,15051,63259.4,363.56,345,69061.6,120.19,-4.02,7.32,6.93,10.05,159.867
141853,49706,187029,108496,23520,262143,123767,142.71,153.72,280.17,210.38,160.54
127915,41503,201986,126423,27258,262143,177187,124.62,195.2,310.86,186.93,160.558
135556,48291,183964,115020,24852,262143,116837,117.92,164.7,270.27,162.81,161.035
132174,48030,180348,101240,22754,262143,241215,156.78,193.98,279.18,218.42,162.317
126988,38802,214480,121804,28708,262143,138642,144.72,151.28,271.26,147.4,162.332
128063,43026,195062,123588,26602,262143,141343,118.59,135.42,301.95,190.95,162.501
